1.411065666553296960e-01,4.429599555806688072e-01
3.131796673666650266e-01,4.178980352082221628e-01
2.543856321886246441e-01,3.883262240285699773e-01
3.681372841599186430e-01,3.914432166108712252e-01
2.795919158135531379e-01,4.559539164950280887e-01
2.869245031563538162e-01,3.945210776985708656e-01
2.842272624437027218e-01,4.420426626315240304e-01
2.455811266771155410e-01,3.843614217382714804e-01
2.652217674246619139e-01,4.285749271106746860e-01
3.404749278141240842e-01,4.262883653697162045e-01
4.101565222242775088e-01,4.151597886134371085e-01
3.344671166016502384e-01,4.216863185171240702e-01
2.851364841283086649e-01,3.457855080141188919e-01
2.375603412228578515e-01,4.119722803885942364e-01
4.431382588537403078e-01,4.360978571635471535e-01
3.328043474089524278e-01,4.519731687458343194e-01
3.761993033955006727e-01,4.710622878112043499e-01
3.053978475621686450e-01,3.854255191534415315e-01
2.677816712818650302e-01,3.495027915253453021e-01
2.165256605162630965e-01,4.187336171300566900e-01
-6.695847864295717241e-04,3.275575484958568317e-01
3.662558191712178002e-01,4.319111778154643422e-01
3.199674220694488369e-01,4.601434420538392800e-01
2.096599179733989460e-01,4.092307572333481747e-01
3.341388640435447588e-01,4.778977848804019102e-01
